Word,AoA_Read_Mean,AoA_Read_Std.Dv,AoA_Write_Mean,AoA_Write_Std.Dv
the,6.130434783,2.559373997,6.634615385,2.339049774
and,5.284,1.815369568,5.749444444,2.351572733
a,6.142578125,3.033535838,6.39625,3.180659843
to,6.8336,3.419754962,6.721666667,3.274501366
I,4.798816568,1.0654325,5.192708333,1.567320463
you,4.543252595,0.820577538,5.1096,1.108814983
he,5.10375,1.660141778,5.047831633,1.667233843
of,8.08,4.485346512,8.403846154,4.197664186
in,6.547619048,3.263068962,6.224965706,2.985304408
it,4.992,1.230487708,5.334705075,1.28622385
that,6.75862069,3.129983711,6.566530612,3.02661254
his,5.121315193,1.731918326,5.892751479,1.997455283
for,7.9375,4.160665969,8.277777778,4.364043056
she,5.168975069,1.719372443,5.164609053,1.875612055
on,7.538461538,4.377037987,6.979492188,3.718327346
my,5.307692308,1.820467677,6.075,3.245543503
with,5.727272727,1.768168673,6.061288089,1.892127857
but,6.714285714,2.576347441,6.679063361,2.249022383
they,6.010555556,2.403997642,6.356401384,2.612978921
all,5.9140625,2.441748262,6.360041623,2.634190425
her,7.390625,4.209693834,7.439393939,3.995617865
so,6.11042524,2.643224965,6.317474048,2.422636786
be,6.076923077,2.575625391,5.808080808,1.750060124
we,6.161989796,2.670498985,6.209104938,2.38503044
at,6.782118056,3.24830397,6.822222222,2.473880154
up,5.4453125,2.665742841,4.932784636,0.942181359
me,4.918367347,1.338318594,5.431213018,1.648292761
as,7.496173469,3.645920738,8.35,4.394647999
this,6.079084287,3.435161666,6.808539945,3.588494542
one,5.0625,1.682012683,4.8264,0.854453432
when,5.632325142,1.66709655,6.009512485,1.813377627
what,5.728,3.327226072,6.392777778,3.498696209
like,6.09375,2.576060696,6.180555556,2.624480296
your,5.399408284,2.077352574,5.696289063,2.048630425
have,4.953333333,1.123643499,5.865013774,1.44320351
out,5.024872449,1.30910292,5.602050781,1.672715554
not,4.902892562,1.174577842,5.368622449,1.605593126
little,6.2008,2.641908906,6.476586889,2.828769984
do,5.4375,1.867088572,5.265432099,1.113494595
then,7.213039486,3.110132077,7.700408163,3.27471943
can,6.11612426,2.495347628,6.172851563,3.161390779
there,6.568877551,2.757487035,6.728650138,3.041752432
no,4.5625,1.424488212,5.5776,2.797268429
day,4.902646503,1.298601796,5.21484375,1.659902584
just,6.911550468,2.752720317,6.633308985,2.858313381
now,6.029444444,2.667628,6.349480969,2.236873969
from,5.3203125,1.545329038,5.775918367,1.94609151
him,5.2416,1.300357899,5.760145682,1.538080291
see,4.921875,1.564498722,6.02,3.039599754
will,8.616666667,4.737384942,8.609375,4.707122906
them,5.879310345,2.077323022,6.828571429,2.673241195
time,5.640625,2.060513462,6.314285714,2.281916488
if,5.776859504,2.132775142,6.313148789,3.020558706
oh,5.2624,2.29666657,5.54912764,1.787971197
too,6.337278107,1.92493165,6.217171717,2.212058512
their,6.875,2.177598559,7.128460208,2.146696514
